ID,TYPE,NeurolexTerm,KeyWords
bAC,Burst Accommodating,none,burst accommodating
bIR,Burst Irregular,none,burst irregular
bNAC,Burst Non-accommodating,none,burst non-accommodating
BP,Bipolar Cell,nifext_81,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, bipolar"
BPC,Pyramidal Cell with bipolar apical-like dendrites,sao2128417084,"Pyramidal, bipolar apical-like dendrites, rat, somatosensory cortex, neocortex"
bSTUT,Burst Stuttering,none,burst stuttering
BTC,Bitufted Cell,none,"Rat, somatosensory cortex, bitufted"
cAC,Continuous Accommodating,none,continuous accommodating
cADpyr,Continuous Accommodating,none,continuous accommodating for pyramidal cells
ChC,Chandelier Cell,nifext_57,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, chandelier"
cIR,Continuous Irregular,none,continuous irregular
cNAC,Continuous Non-accommodating,none,continuous non-accommodating
cSTUT,Continuous Stuttering,none,continuous stuttering
DAC,Descending Axon Cell,none,"Rat, somatosensory cortex, neocortex"
DBC,Double Bouquet Cell,sao910084726,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, double bouquet"
dNAC,Delayed Non-accommodating,none,delayed non-accommodating
dSTUT,Delayed Stuttering,none,delayed stuttering
HAC,Horizontal Axon Cell,none,"Rat, somatosensory cortex, neocortex, horizontal axon"
IPC,Pyramidal Cell with inverted apical-like dendrites,sao2128417084,"Pyramidal, inverted apical-like dendrites, rat, somatosensory cortex, neocortex"
DLAC,Large Axon Cell,none,"Rat, somatosensory cortex, neocortex, large axon"
LBC,Large Basket Cell,nifext_56,"Fast-spiking, interneuron, GABAergic, inhibitory, neocortex, rat, somatosensory cortex, large, basket"
MC,Martinotti Cell,nifext_55,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, Martinotti"
NBC,Nest Basket Cell,nifext_56,"Fast-spiking, interneuron, GABAergic, inhibitory, neocortex, rat, somatosensory cortex, nest, basket"
NGC,Neurogliaform Cell,none,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, neurogliaform"
NGCDA,Neurogliaform Cell with dense axonal arborization,none,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, neocortex, neurogliaform, dense axonal arborization"
NGCSA,Neurogliaform Cell with slender axonal arborization,none,"GABAergic, inhibitory, neocortex, rat, somatosensory cortex, neocortex, neurogliaform, slender axonal arborization"
PC,Pyramidal Cell,sao2128417084,"principal neuron, neocortex, rat, somatosensory cortex, pyramidal"
SLAC,Small Axon Cell,none,"Rat, somatosensory cortex, neocortex, small axon"
SBC,Small Basket Cell,nifext_56,"Fast-spiking, interneuron, GABAergic, inhibitory, neocortex, rat, somatosensory cortex, small, basket"
SP,Star Pyramidal Cell,sao2128417084,"rat, somatosensory cortex, star, pyramidal"
SS,Spiny Stellate Cell,sao1236796660,"excitatory, neocortex, rat, somatosensory cortex, spiny, stellate "
STPC,Slender-tufted Pyramidal Cell,sao2128417084,"Slender-tufted, pyramidal, rat, somatosensory cortex, neocortex"
TPC_L1,Tufted Pyramidal Cell with apical dendrites terminating in layer 1,sao2128417084 ,"Tufted, pyramidal, apical dendrites terminating in layer 1, rat, somatosensory cortex, neocortex"
TPC_L4,Tufted Pyramidal Cell with apical dendrites terminating in layer 4,sao2128417084,"Tufted, pyramidal, apical dendrites terminating in layer 4, rat, somatosensory cortex, neocortex"
TTPC1,Thick-tufted Pyramidal Cell with a late bifurcating apical tuft,sao2128417084,"rat, somatosensory cortex, thick-tufted, pyramidal, bifurcating apical tuft, rat, somatosensory cortex"
TTPC2,Thick-tufted Pyramidal Cell with an early bifurcating apical tuft,sao2128417084,"Thick-tufted, pyramidal, bifurcating apical tuft, rat, somatosensory cortex"
UTPC,Untufted Pyramidal Cell,sao2128417084,"Untufted, pyramidal, rat, neocortex, somatosensory cortex"
L1,Layer 1,nlx_anat_090807,Layer 1
L23,"Layer 2, Layer 3","nlx_anat_090808, nlx_anat_090809","Layer 2, Layer 3, Layer 2/3"
L4,Layer 4,nlx_anat_090810,Layer 4
L5,Layer 5,nlx_anat_090811,Layer 5
L6,Layer 6,nlx_anat_090812,Layer 6