modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
CH,Potassium A (K-A) Current,kamt.channel.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,K-A,8745279,Justas Birgiolas,
CH,Potassium DR (K-DR) Current,kdrmt.channel.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,K-DR,8745279,Justas Birgiolas,
CH,Sodium Current,nax__sh0.channel.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,"noninactivating, axon",12118259,Justas Birgiolas,
CH,Sodium Current,nax__sh10.channel.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,"noninactivating, axon",12118259,Justas Birgiolas,
CH,Sodium Current,nax__sh15.channel.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,"noninactivating, axon",12118259,Justas Birgiolas,
CH,Passive Current,pas.channel.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,leak,,Justas Birgiolas,
SY,AMPA/NMDA,AmpaNmda.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,glutamate,21258619,Justas Birgiolas,
SY,Fast Inhibitory (FI),FI.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",none,,gaba,21258619,Justas Birgiolas,
CL,Main Olfactory Bulb Granule Cell,Granule_0_110821.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh15.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",Olfactory bulb (main) granule cell,nifext_123,"MOB, OB, gaba",24808855,Justas Birgiolas,
CL,Main Olfactory Bulb Mitral Cell (1),Mitral_0_0.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh0.channel.nml,nax__sh10.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",Olfactory bulb (main) mitral cell,nifext_120,"MOB, OB, glutamate",24808855,Justas Birgiolas,
CL,Main Olfactory Bulb Mitral Cell (2),Mitral_0_1.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh0.channel.nml,nax__sh10.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",Olfactory bulb (main) mitral cell,nifext_120,"MOB, OB, glutamate",24808855,Justas Birgiolas,
CL,Main Olfactory Bulb Mitral Cell (3),Mitral_0_2.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh0.channel.nml,nax__sh10.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",Olfactory bulb (main) mitral cell,nifext_120,"MOB, OB, glutamate",24808855,Justas Birgiolas,
CL,Main Olfactory Bulb Mitral Cell (4),Mitral_0_3.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh0.channel.nml,nax__sh10.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",Olfactory bulb (main) mitral cell,nifext_120,"MOB, OB, glutamate",24808855,Justas Birgiolas,
CL,Main Olfactory Bulb Mitral Cell (5),Mitral_0_4.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh0.channel.nml,nax__sh10.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/miglioreetal14_olfactorybulb3d),(ModelDB,https://senselab.med.yale.edu/ModelDB/ShowModel.cshtml?model=151681)",Olfactory bulb (main) mitral cell,nifext_120,"MOB, OB, glutamate",24808855,Justas Birgiolas,